127.0.0.1 - - [03/Apr/2018:12:54:52 +0900] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi HTTP/1.1" 302 -
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/ HTTP/1.1" 200 22894
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/cssintro/bootstrap.min.css HTTP/1.1" 200 144877
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/css/bootstrap.min.css HTTP/1.1" 200 127343
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/cssintro/modern-business.css HTTP/1.1" 200 632
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/css/1-col-portfolio.css HTTP/1.1" 200 397
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/jquery/bootstrap.bundle.min.js HTTP/1.1" 200 69453
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/jqueryintro/jquery.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/jqueryintro/bootstrap.bundle.min.js HTTP/1.1" 200 67742
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/images/introimg6.jpg HTTP/1.1" 404 1044
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/jquery/jquery.min.js HTTP/1.1" 200 86659
127.0.0.1 - - [03/Apr/2018:12:55:09 +0900] "GET /semi/images/date.png HTTP/1.1" 200 6167
127.0.0.1 - - [03/Apr/2018:12:55:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/images/hongikuniv.jpg HTTP/1.1" 200 185439
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:11 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [03/Apr/2018:12:55:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
