127.0.0.1 - - [16/Apr/2018:14:32:26 +0900] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [16/Apr/2018:14:32:35 +0900] "GET /semi HTTP/1.1" 302 -
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/ HTTP/1.1" 200 22894
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/css/bootstrap.min.css HTTP/1.1" 200 127343
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/css/1-col-portfolio.css HTTP/1.1" 200 397
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/cssintro/modern-business.css HTTP/1.1" 200 632
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/cssintro/bootstrap.min.css HTTP/1.1" 200 144877
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/jquery/jquery.min.js HTTP/1.1" 200 86659
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/jqueryintro/bootstrap.bundle.min.js HTTP/1.1" 200 67742
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/jqueryintro/jquery.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/jquery/bootstrap.bundle.min.js HTTP/1.1" 200 69453
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/images/introimg6.jpg HTTP/1.1" 404 1044
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /semi/images/date.png HTTP/1.1" 200 6167
127.0.0.1 - - [16/Apr/2018:14:32:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/images/hongikuniv.jpg HTTP/1.1" 200 185439
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:38 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:39 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/images/hongdaeplayground.jpg HTTP/1.1" 200 179559
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/images/hongdaestreet.jpg HTTP/1.1" 200 240368
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/images/GW_gamsung3.PNG HTTP/1.1" 200 1553222
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/images/lottehotel1.jpg HTTP/1.1" 200 199406
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:40 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:46 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [16/Apr/2018:14:32:46 +0900] "GET /semi/views/member/memberError.jsp HTTP/1.1" 200 266
127.0.0.1 - - [16/Apr/2018:14:32:48 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:48 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:48 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:48 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:48 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:48 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:49 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:50 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:51 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:51 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:51 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:56 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [16/Apr/2018:14:32:56 +0900] "GET /semi/views/member/memberError.jsp HTTP/1.1" 200 266
127.0.0.1 - - [16/Apr/2018:14:32:57 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:57 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:58 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:32:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:02 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [16/Apr/2018:14:33:02 +0900] "GET /semi/views/member/memberError.jsp HTTP/1.1" 200 266
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:04 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:05 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:06 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:07 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:08 +0900] "GET /semi/rblist?page=1 HTTP/1.1" 200 9402
127.0.0.1 - - [16/Apr/2018:14:33:18 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [16/Apr/2018:14:33:18 +0900] "GET /semi/intro.jsp HTTP/1.1" 200 23208
127.0.0.1 - - [16/Apr/2018:14:33:18 +0900] "GET /semi/images/introimg6.jpg HTTP/1.1" 404 1044
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [16/Apr/2018:14:33:20 +0900] "GET /semi/mlist?page=1 HTTP/1.1" 200 12677
127.0.0.1 - - [16/Apr/2018:14:33:23 +0900] "GET /semi/bestplace?page=1 HTTP/1.1" 200 13106
127.0.0.1 - - [16/Apr/2018:14:33:23 +0900] "GET /semi/images/village.jpg HTTP/1.1" 200 183228
127.0.0.1 - - [16/Apr/2018:14:33:23 +0900] "GET /semi/images/doota.jpg HTTP/1.1" 200 208558
127.0.0.1 - - [16/Apr/2018:14:33:27 +0900] "GET /semi/nlist?page=1 HTTP/1.1" 200 10005
127.0.0.1 - - [16/Apr/2018:14:33:27 +0900] "GET /semi/js/jquery-3.1.1.js HTTP/1.1" 404 1040
127.0.0.1 - - [16/Apr/2018:14:33:27 +0900] "GET /semi/css/bootstrap.css HTTP/1.1" 200 159204
127.0.0.1 - - [16/Apr/2018:14:33:32 +0900] "GET /semi/rblist?page=1 HTTP/1.1" 200 10078
127.0.0.1 - - [16/Apr/2018:14:33:34 +0900] "GET /semi/wblist?page=1 HTTP/1.1" 200 10017
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/vrimg?place=%ED%99%8D%EB%8C%80&title=%ED%99%8D%EB%8C%80%EC%A0%95%EB%AC%B8&userid=admin01&bnum=1 HTTP/1.1" 200 55046
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/images/soi.jpg HTTP/1.1" 200 1608959
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/images/chingoo3.PNG HTTP/1.1" 200 2588583
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/images/zion.jpg HTTP/1.1" 200 76153
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/images/analog1.jpg HTTP/1.1" 200 59421
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/images/like_no.png HTTP/1.1" 200 1479
127.0.0.1 - - [16/Apr/2018:14:33:35 +0900] "GET /semi/images/bong2.PNG HTTP/1.1" 200 1066391
